Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2767,A People's History of the United States,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",0,4.07,Harper Perennial,Paperback,729,2005,1980,,2022/02/05,"to-read, non-fiction","to-read (#5), non-fiction (#6)",to-read,,,,0,0
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",,"=""1400052173""","=""9781400052172""",0,4.10,Crown Publishing Group,Hardcover,370,2010,2010,,2022/07/13,memoirs,memoirs (#6),read,,,,1,0
726441,"The Franklin Scandal: A Story of Powerbrokers, Child Abuse & Betrayal",Nick Bryant,"Bryant, Nick",,"=""0977795357""","=""9780977795352""",0,4.19,Trine Day,Hardcover,650,2009,2008,,2022/07/12,"to-read, non-fiction","to-read (#29), non-fiction (#5)",to-read,,,,0,0
35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393355624""","=""9780393355628""",0,4.27,W. W. Norton & Company,Paperback,400,2018,1985,,2022/06/19,"to-read, memoirs","to-read (#25), memoirs (#5)",to-read,,,,0,0
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,"=""""","=""""",0,4.35,Ballantine Books,Mass Market Paperback,466,2015,1965,,2022/07/13,"to-read, non-fiction","to-read (#30), non-fiction (#4)",to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",0,4.36,Abrams Press,Hardcover,318,2019,2019,,2022/02/05,"to-read, non-fiction","to-read (#8), non-fiction (#3)",to-read,,,,0,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",0,4.49,Doubleday Canada,Hardcover,289,2016,2016,,2022/02/05,"to-read, memoirs","to-read (#7), memoirs (#3)",to-read,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",4,4.48,Crown,Hardcover,426,2018,2018,2022/06/08,2022/06/04,memoirs,memoirs (#2),read,"Coming from a vastly different background to Michelle, I was pleasantly surprised that I was able to relate to numerous parts of Michelle's life growing up. Her unconscious want to grab the next rung in life to gain the approval and adulation of those around her, to follow the 'obvious' path, when she was younger, rung very similar to my experience in pursuing college and then graduate school. <br/>In addition, I enjoyed learning how she navigated life through college, life as a lawyer, and ultimately deciding to pursue a career that she felt she gained the most fulfillment from. Her doubt/questions about how much her job fulfilled her, while also acknowledging the reality of life's problems like money really hit home that feeling fulfilled in one's job was a privilege that not everyone can have. <br/>Her recount of campaigning and Obama's presidency definitely gave me a fresh perspective on the pressures that politics has on the people that aren't explicitly involved. (audiobook - voiced by Michelle was great)",,,1,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",5,4.72,Viking,ebook,384,2019,2019,2022/02/25,2022/02/19,"memoirs, my-book-nook","memoirs (#1), my-book-nook (#4)",read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2022/06/20,to-read,to-read (#28),to-read,,,,0,0
